Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16
b;30.83;0;u;g;w;v;125;t;t;1;f;g;00202;0;+
a;58.67;446;u;g;q;h;304;t;t;6;f;g;00043;560;+
a;24.50;5;u;g;q;h;15;t;f;0;f;g;00280;824;+
b;27.83;154;u;g;w;v;375;t;t;5;t;g;00100;3;+
b;20.17;5625;u;g;w;v;171;t;f;0;f;s;00120;0;+
b;32.08;4;u;g;m;v;25;t;f;0;t;g;00360;0;+
b;33.17;104;u;g;r;h;65;t;f;0;t;g;00164;31285;+
a;22.92;11585;u;g;cc;v;4;t;f;0;f;g;00080;1349;+
b;54.42;5;y;p;k;h;396;t;f;0;f;g;00180;314;+
b;42.50;4915;y;p;w;v;3165;t;f;0;t;g;00052;1442;+
b;22.08;83;u;g;c;h;2165;f;f;0;t;g;00128;0;+
b;29.92;1835;u;g;c;h;4335;t;f;0;f;g;00260;200;+
a;38.25;6;u;g;k;v;1;t;f;0;t;g;00000;0;+
b;48.08;604;u;g;k;v;4;f;f;0;f;g;00000;2690;+
a;45.83;105;u;g;q;v;5;t;t;7;t;g;00000;0;+
b;36.67;4415;y;p;k;v;25;t;t;10;t;g;00320;0;+
b;28.25;875;u;g;m;v;96;t;t;3;t;g;00396;0;+
a;23.25;5875;u;g;q;v;317;t;t;10;f;g;00120;245;+
b;21.83;25;u;g;d;h;665;t;f;0;t;g;00000;0;+
a;19.17;8585;u;g;cc;h;75;t;t;7;f;g;00096;0;+
b;25.00;1125;u;g;c;v;25;t;t;17;f;g;00200;1208;+
b;23.25;1;u;g;c;v;835;t;f;0;f;s;00300;0;+
a;47.75;8;u;g;c;v;7875;t;t;6;t;g;00000;1260;+
a;27.42;145;u;g;x;h;3085;t;t;1;f;g;00120;11;+
a;41.17;65;u;g;q;v;5;t;t;3;t;g;00145;0;+
a;15.83;585;u;g;c;h;15;t;t;2;f;g;00100;0;+
a;47.00;13;u;g;i;bb;5165;t;t;9;t;g;00000;0;+
b;56.58;185;u;g;d;bb;15;t;t;17;t;g;00000;0;+
b;57.42;85;u;g;e;h;7;t;t;3;f;g;00000;0;+
b;42.08;104;u;g;w;v;5;t;t;6;t;g;00500;10000;+
b;29.25;1479;u;g;aa;v;504;t;t;5;t;g;00168;0;+
b;42.00;979;u;g;x;h;796;t;t;8;f;g;00000;0;+
b;49.50;7585;u;g;i;bb;7585;t;t;15;t;g;00000;5000;+
a;36.75;5125;u;g;e;v;5;t;f;0;t;g;00000;4000;+
a;22.58;1075;u;g;q;v;415;t;t;5;t;g;00000;560;+
b;27.83;15;u;g;w;v;2;t;t;11;t;g;00434;35;+
b;27.25;1585;u;g;cc;h;1835;t;t;12;t;g;00583;713;+
a;23.00;1175;u;g;x;h;5;t;t;2;t;g;00300;551;+
b;27.75;585;y;p;cc;v;25;t;t;2;f;g;00260;500;+
b;54.58;9415;u;g;ff;ff;14415;t;t;11;t;g;00030;300;+
b;34.17;917;u;g;c;v;45;t;t;12;t;g;00000;221;+
b;28.92;15;u;g;c;h;5335;t;t;11;f;g;00000;2283;+
b;29.67;1415;u;g;w;h;75;t;t;1;f;g;00240;100;+
b;39.58;13915;u;g;w;v;8625;t;t;6;t;g;00070;0;+
b;56.42;28;y;p;c;v;285;t;t;40;f;g;00000;15;+
b;54.33;675;u;g;c;h;2625;t;t;11;t;g;00000;284;+
a;41.00;204;y;p;q;h;125;t;t;23;t;g;00455;1236;+
b;31.92;446;u;g;cc;h;604;t;t;3;f;g;00311;300;+
b;41.50;154;u;g;i;bb;35;f;f;0;f;g;00216;0;+
b;23.92;665;u;g;c;v;165;f;f;0;f;g;00100;0;+
a;25.75;5;u;g;c;h;875;t;f;0;t;g;00491;0;+
b;26.00;1;u;g;q;v;175;t;f;0;t;g;00280;0;+
b;37.42;204;u;g;w;v;4;t;f;0;t;g;00400;5800;+
b;34.92;25;u;g;w;v;0;t;f;0;t;g;00239;200;+
b;34.25;3;u;g;cc;h;7415;t;f;0;t;g;00000;0;+
b;23.33;11625;y;p;w;v;835;t;f;0;t;g;00160;300;+
b;23.17;0;u;g;cc;v;85;t;f;0;f;g;00000;0;+
b;44.33;5;u;g;i;h;5;t;f;0;t;g;00320;0;+
b;35.17;45;u;g;x;h;575;f;f;0;t;s;00711;0;+
b;43.25;3;u;g;q;h;6;t;t;11;f;g;00080;0;+
b;56.75;1225;u;g;m;v;125;t;t;4;t;g;00200;0;+
b;31.67;16165;u;g;d;v;3;t;t;9;f;g;00250;730;+
a;23.42;79;y;p;q;v;15;t;t;2;t;g;00080;400;+
a;20.42;835;u;g;q;v;1585;t;t;1;f;g;00000;0;+
b;26.67;425;u;g;cc;v;429;t;t;1;t;g;00120;0;+
b;34.17;154;u;g;cc;v;154;t;t;1;t;g;00520;50000;+
a;36.00;1;u;g;c;v;2;t;t;11;f;g;00000;456;+
b;25.50;375;u;g;m;v;25;t;t;3;f;g;00260;15108;+
b;19.42;65;u;g;w;h;146;t;t;7;f;g;00080;2954;+
b;35.17;25125;u;g;x;h;1625;t;t;1;t;g;00515;500;+
b;32.33;75;u;g;e;bb;1585;t;f;0;t;s;00420;0;-
b;34.83;4;u;g;d;bb;125;t;f;0;t;g;?;0;-
a;38.58;5;u;g;cc;v;135;t;f;0;t;g;00980;0;-
b;44.25;5;u;g;m;v;1075;t;f;0;f;s;00400;0;-
b;44.83;7;y;p;c;v;1625;f;f;0;f;g;00160;2;-
b;20.67;529;u;g;q;v;375;t;t;1;f;g;00160;0;-
b;34.08;65;u;g;aa;v;125;t;f;0;t;g;00443;0;-
a;19.17;585;y;p;aa;v;585;t;f;0;t;g;00160;0;-
b;21.67;1165;y;p;k;v;25;t;t;1;f;g;00180;20;-
b;21.50;975;u;g;c;v;25;t;f;0;f;g;00140;0;-
b;49.58;19;u;g;ff;ff;0;t;t;1;f;g;00094;0;-
a;27.67;15;u;g;m;v;2;t;f;0;f;s;00368;0;-
b;39.83;5;u;g;m;v;25;t;f;0;f;s;00288;0;-
a;?;35;u;g;d;v;3;t;f;0;t;g;00300;0;-
b;27.25;625;u;g;aa;v;455;t;f;0;t;g;00200;0;-
b;37.17;4;u;g;c;bb;5;t;f;0;t;s;00280;0;-
b;?;375;u;g;d;v;875;t;f;0;t;s;00928;0;-
b;25.67;221;y;p;aa;v;4;t;f;0;f;g;00188;0;-
b;34.00;45;u;g;aa;v;1;t;f;0;t;g;00240;0;-
a;49.00;15;u;g;j;j;0;t;f;0;t;g;00100;27;-
b;62.50;1275;y;p;c;h;5;t;f;0;f;g;00112;0;-
b;31.42;155;u;g;c;v;5;t;f;0;f;g;00120;0;-
b;?;5;y;p;aa;v;85;t;f;0;f;g;00000;0;-
b;52.33;1375;y;p;c;h;946;t;f;0;t;g;00200;100;-
b;28.75;15;y;p;c;v;15;t;f;0;t;g;00000;225;-
a;28.58;354;u;g;i;bb;5;t;f;0;t;g;00171;0;-
b;23.00;625;y;p;aa;v;125;t;f;0;f;g;00180;1;-
b;?;5;u;g;c;bb;835;t;f;0;t;s;00320;0;-
a;22.50;11;y;p;q;v;3;t;f;0;t;g;00268;0;-
a;28.50;1;u;g;q;v;1;t;t;2;t;g;00167;500;-
b;37.50;175;y;p;c;bb;25;t;f;0;t;g;00164;400;-
b;35.25;165;y;p;c;v;4;t;f;0;f;g;00080;0;-
b;18.67;5;u;g;q;v;375;t;t;2;f;g;00000;38;-
b;25.00;12;u;g;k;v;225;t;t;2;t;g;00120;5;-
b;27.83;4;y;p;i;h;575;t;t;2;t;g;00075;0;-
b;54.83;155;u;g;e;z;0;t;t;20;f;g;00152;130;-
b;28.75;1165;u;g;k;v;5;t;f;0;f;s;00280;0;-
a;25.00;11;y;p;aa;v;45;t;f;0;f;g;00120;0;-
b;40.92;225;y;p;x;h;10;t;f;0;t;g;00176;0;-
a;19.75;75;u;g;c;v;795;t;t;5;t;g;00140;5;-
b;29.17;35;u;g;w;v;35;t;t;3;t;g;00329;0;-
a;24.50;104;y;p;ff;ff;5;t;t;3;f;g;00180;147;-
b;24.58;125;u;g;w;v;875;t;f;0;t;g;00260;0;-
a;33.75;75;u;g;k;bb;1;t;t;3;t;g;00212;0;-
b;20.67;125;y;p;c;h;1375;t;t;3;t;g;00140;210;-
a;25.42;1125;u;g;q;v;129;t;t;2;f;g;00200;0;-
b;37.75;7;u;g;q;h;115;t;t;7;t;g;00300;5;-
b;52.50;65;u;g;k;v;629;t;t;15;f;g;00000;11202;+
b;57.83;704;u;g;m;v;14;t;t;6;t;g;00360;1332;+
a;20.75;10335;u;g;cc;h;335;t;t;1;t;g;00080;50;+
b;39.92;621;u;g;q;v;4;t;t;1;f;g;00200;300;+
b;25.67;125;u;g;cc;v;121;t;t;67;t;g;00140;258;+
a;24.75;125;u;g;aa;v;15;t;t;12;t;g;00120;567;+
a;44.17;6665;u;g;q;v;7375;t;t;3;t;g;00000;0;+
a;23.50;9;u;g;q;v;85;t;t;5;t;g;00120;0;+
b;34.92;5;u;g;x;h;75;t;t;6;t;g;00000;1000;+
b;47.67;25;u;g;m;bb;25;t;t;12;t;g;00410;2510;+
b;22.75;11;u;g;q;v;25;t;t;7;t;g;00100;809;+
b;34.42;425;u;g;i;bb;325;t;t;2;f;g;00274;610;+
a;28.42;35;u;g;w;v;835;t;f;0;f;s;00280;0;+
b;67.75;55;u;g;e;z;13;t;t;1;t;g;00000;0;+
b;20.42;1835;u;g;c;v;225;t;t;1;f;g;00100;150;+
a;47.42;8;u;g;e;bb;65;t;t;6;f;g;00375;51100;+
b;36.25;5;u;g;c;bb;25;t;t;6;f;g;00000;367;+
b;32.67;55;u;g;q;h;55;t;t;12;t;g;00408;1000;+
b;48.58;65;u;g;q;h;6;t;f;0;t;g;00350;0;+
b;39.92;54;y;p;aa;v;5;t;t;3;f;g;00200;1000;+
b;33.58;275;u;g;m;v;425;t;t;6;f;g;00204;0;+
a;18.83;95;u;g;w;v;1625;t;t;6;t;g;00040;600;+
a;26.92;135;u;g;q;h;5;t;t;2;f;g;00000;5000;+
a;31.25;375;u;g;cc;h;625;t;t;9;t;g;00181;0;+
a;56.50;16;u;g;j;ff;0;t;t;15;f;g;00000;247;+
b;43.00;29;y;p;cc;h;175;t;t;8;f;g;00100;375;+
b;22.33;11;u;g;w;v;2;t;t;1;f;g;00080;278;+
b;27.25;1665;u;g;cc;h;5085;t;t;9;f;g;00399;827;+
b;32.83;25;u;g;cc;h;275;t;t;6;f;g;00160;2072;+
b;23.25;15;u;g;q;v;2375;t;t;3;t;g;00000;582;+
a;40.33;754;y;p;q;h;8;t;t;14;f;g;00000;2300;+
a;30.50;65;u;g;c;bb;4;t;t;7;t;g;00000;3065;+
a;52.83;15;u;g;c;v;55;t;t;14;f;g;00000;2200;+
a;46.67;46;u;g;cc;h;415;t;t;11;t;g;00440;6;+
a;58.33;10;u;g;q;v;4;t;t;14;f;g;00000;1602;+
b;37.33;65;u;g;m;h;425;t;t;12;t;g;00093;0;+
b;23.08;25;u;g;c;v;1085;t;t;11;t;g;00060;2184;+
b;32.75;15;u;g;cc;h;55;t;t;3;t;g;00000;0;+
a;21.67;115;y;p;j;j;0;t;t;11;t;g;00000;0;+
a;28.50;304;y;p;x;h;254;t;t;1;f;g;00070;0;+
a;68.67;15;u;g;e;z;0;t;t;14;f;g;00000;3376;+
b;28.00;2;u;g;k;h;4165;t;t;2;t;g;00181;0;+
b;34.08;8;y;p;m;bb;4;t;t;1;t;g;00280;2000;+
b;27.67;2;u;g;x;h;1;t;t;4;f;g;00140;7544;+
b;44.00;2;u;g;m;v;175;t;t;2;t;g;00000;15;+
b;25.08;171;u;g;x;v;1665;t;t;1;t;g;00395;20;+
b;32.00;175;y;p;e;h;4;t;f;0;t;g;00393;0;+
a;60.58;165;u;g;q;v;11;t;f;0;t;g;00021;10561;+
a;40.83;10;u;g;q;h;175;t;f;0;f;g;00029;837;+
b;19.33;95;u;g;q;v;1;t;f;0;t;g;00060;400;+
a;32.33;54;u;g;cc;v;4;t;f;0;f;g;00440;11177;+
b;36.67;325;u;g;q;h;9;t;f;0;t;g;00102;639;+
b;37.50;1125;y;p;d;v;15;f;f;0;t;g;00431;0;+
a;25.08;254;y;p;aa;v;25;t;f;0;t;g;00370;0;+
b;41.33;0;u;g;c;bb;15;t;f;0;f;g;00000;0;+
b;56.00;125;u;g;k;h;8;t;f;0;t;g;00024;2028;+
a;49.83;13585;u;g;k;h;85;t;f;0;t;g;00000;0;+
b;22.67;105;u;g;q;h;1335;t;f;0;f;g;00100;0;+
b;27.00;15;y;p;w;v;375;t;f;0;t;g;00260;1065;+
b;25.00;125;u;g;aa;v;3;t;f;0;t;s;00020;0;+
a;26.08;8665;u;g;aa;v;1415;t;f;0;f;g;00160;150;+
a;18.42;925;u;g;q;v;121;t;t;4;f;g;00060;540;+
b;20.17;817;u;g;aa;v;196;t;t;14;f;g;00060;158;+
b;47.67;29;u;g;c;bb;15;t;t;20;f;g;00000;15000;+
a;21.25;2335;u;g;i;bb;5;t;t;4;f;s;00080;0;+
a;20.67;3;u;g;q;v;165;t;t;3;f;g;00100;6;+
a;57.08;195;u;g;c;v;55;t;t;7;f;g;00000;3000;+
a;22.42;5665;u;g;q;v;2585;t;t;7;f;g;00129;3257;+
b;48.75;85;u;g;c;h;125;t;t;9;f;g;00181;1655;+
b;40.00;65;u;g;aa;bb;35;t;t;1;f;g;00000;500;+
b;40.58;5;u;g;c;v;5;t;t;7;f;g;00000;3065;+
a;28.67;104;u;g;c;v;25;t;t;5;t;g;00300;1430;+
a;33.08;4625;u;g;q;h;1625;t;t;2;f;g;00000;0;+
b;21.33;105;u;g;c;v;3;t;f;0;t;g;00000;0;+
b;42.00;205;u;g;i;h;5125;t;f;0;f;g;00400;0;+
b;41.75;96;u;g;x;v;25;t;f;0;f;g;00510;600;+
b;22.67;1585;y;p;w;v;3085;t;t;6;f;g;00080;0;+
b;34.50;404;y;p;i;bb;85;t;t;7;t;g;00195;0;+
b;28.25;504;y;p;c;bb;15;t;t;8;t;g;00144;7;+
b;33.17;3165;y;p;x;v;3165;t;t;3;t;g;00380;0;+
b;48.17;7625;u;g;w;h;155;t;t;12;f;g;00000;790;+
b;27.58;204;y;p;aa;v;2;t;t;3;t;g;00370;560;+
b;22.58;1004;u;g;x;v;4;t;t;9;f;g;00060;396;+
a;24.08;5;u;g;q;h;125;t;t;1;f;g;00000;678;+
a;41.33;1;u;g;i;bb;225;t;f;0;t;g;00000;300;+
b;24.83;275;u;g;c;v;225;t;t;6;f;g;?;600;+
a;20.75;1025;u;g;q;v;71;t;t;2;t;g;00049;0;+
b;36.33;2125;y;p;w;v;85;t;t;1;f;g;00050;1187;+
a;35.42;12;u;g;q;h;14;t;t;8;f;g;00000;6590;+
a;71.58;0;?;?;?;?;0;f;f;0;f;p;?;0;+
b;28.67;9335;u;g;q;h;5665;t;t;6;f;g;00381;168;+
b;35.17;25;u;g;k;v;45;t;t;7;f;g;00150;1270;+
b;39.50;425;u;g;c;bb;65;t;t;16;f;g;00117;1210;+
b;39.33;5875;u;g;cc;h;10;t;t;14;t;g;00399;0;+
b;24.33;6625;y;p;d;v;55;t;f;0;t;s;00100;0;+
b;60.08;145;u;g;ff;ff;18;t;t;15;t;g;00000;1000;+
b;23.08;115;u;g;i;v;35;t;t;9;f;g;00056;742;+
b;26.67;271;y;p;cc;v;525;t;t;1;f;g;00211;0;+
b;48.17;35;u;g;aa;v;35;t;f;0;f;s;00230;0;+
b;41.17;404;u;g;cc;h;7;t;t;8;f;g;00320;0;+
b;55.92;115;u;g;ff;ff;5;t;t;5;f;g;00000;8851;+
b;53.92;9625;u;g;e;v;8665;t;t;5;f;g;00000;0;+
a;18.92;925;y;p;c;v;1;t;t;4;t;g;00080;500;+
a;50.08;1254;u;g;aa;v;229;t;t;3;t;g;00156;0;+
b;65.42;11;u;g;e;z;20;t;t;7;t;g;00022;0;+
a;17.58;9;u;g;aa;v;1375;t;f;0;t;g;00000;0;+
a;18.83;954;u;g;aa;v;85;t;f;0;f;g;00100;0;+
a;37.75;55;u;g;q;v;125;t;f;0;t;g;00228;0;+
b;23.25;4;u;g;c;bb;25;t;f;0;t;g;00160;0;+
b;18.08;55;u;g;k;v;5;t;f;0;f;g;00080;0;+
a;22.50;846;y;p;x;v;246;f;f;0;f;g;00164;0;+
b;19.67;375;u;g;q;v;2;t;t;2;t;g;00080;0;+
b;22.08;11;u;g;cc;v;665;t;f;0;f;g;00100;0;+
b;25.17;35;u;g;cc;v;625;t;t;7;f;g;00000;7059;+
a;47.42;3;u;g;x;v;13875;t;t;2;t;g;00519;1704;+
b;33.50;175;u;g;x;h;45;t;t;4;t;g;00253;857;+
b;27.67;1375;u;g;w;v;575;t;f;0;t;g;00487;500;+
a;58.42;21;u;g;i;bb;10;t;t;13;f;g;00000;6700;+
a;20.67;1835;u;g;q;v;2085;t;t;5;f;g;00220;2503;+
b;26.17;25;u;g;i;bb;0;t;f;0;t;g;00000;0;+
b;21.33;75;u;g;aa;v;1415;t;t;1;f;g;00080;9800;+
b;42.83;4625;u;g;q;v;458;t;f;0;f;s;00000;0;+
b;38.17;10125;u;g;x;v;25;t;t;6;f;g;00520;196;+
b;20.50;10;y;p;c;v;25;t;f;0;f;s;00040;0;+
b;48.25;25085;u;g;w;v;175;t;t;3;f;g;00120;14;+
b;28.33;5;u;g;w;v;11;t;f;0;t;g;00070;0;+
a;18.75;75;u;g;q;v;271;t;t;5;f;g;?;26726;+
b;18.50;2;u;g;i;v;15;t;t;2;f;g;00120;300;+
b;33.17;304;y;p;c;h;204;t;t;1;t;g;00180;18027;+
b;45.00;85;u;g;cc;h;14;t;t;1;t;g;00088;2000;+
a;19.67;21;u;g;q;h;29;t;t;11;f;g;00080;99;+
?;24.50;1275;u;g;c;bb;475;t;t;2;f;g;00073;444;+
b;21.83;11;u;g;x;v;29;t;t;6;f;g;00121;0;+
b;40.25;215;u;g;e;z;20;t;t;11;f;g;00000;1200;+
b;41.42;5;u;g;q;h;5;t;t;6;t;g;00470;0;+
a;17.83;11;u;g;x;h;1;t;t;11;f;g;00000;3000;+
b;23.17;11125;u;g;x;h;46;t;t;1;f;g;00100;0;+
b;?;625;u;g;k;v;25;f;f;0;f;g;00380;2010;-
b;18.17;1025;u;g;c;h;1085;f;f;0;f;g;00320;13;-
b;20.00;11045;u;g;c;v;2;f;f;0;t;g;00136;0;-
b;20.00;0;u;g;d;v;5;f;f;0;f;g;00144;0;-
a;20.75;954;u;g;i;v;4;f;f;0;f;g;00200;1000;-
a;24.50;175;y;p;c;v;165;f;f;0;f;g;00132;0;-
b;32.75;2335;u;g;d;h;575;f;f;0;t;g;00292;0;-
a;52.17;0;y;p;ff;ff;0;f;f;0;f;g;00000;0;-
a;48.17;1335;u;g;i;o;335;f;f;0;f;g;00000;120;-
a;20.42;105;y;p;x;h;0;f;f;0;t;g;00154;32;-
b;50.75;585;u;g;ff;ff;0;f;f;0;f;g;00145;0;-
b;17.08;85;y;p;c;v;4;f;f;0;f;g;00140;722;-
b;18.33;121;y;p;e;dd;0;f;f;0;f;g;00100;0;-
a;32.00;6;u;g;d;v;125;f;f;0;f;g;00272;0;-
b;59.67;154;u;g;q;v;125;t;f;0;t;g;00260;0;+
b;18.00;165;u;g;q;n;21;f;f;0;f;g;00200;40;+
b;37.58;0;?;?;?;?;0;f;f;0;f;p;?;0;+
b;32.33;25;u;g;c;v;125;f;f;0;t;g;00280;0;-
b;18.08;675;y;p;m;v;4;f;f;0;f;g;00140;0;-
b;38.25;10125;y;p;k;v;125;f;f;0;f;g;00160;0;-
b;30.67;25;u;g;cc;h;225;f;f;0;t;s;00340;0;-
b;18.58;571;u;g;d;v;54;f;f;0;f;g;00120;0;-
a;19.17;5415;u;g;i;h;29;f;f;0;f;g;00080;484;-
a;18.17;10;y;p;q;h;165;f;f;0;f;g;00340;0;-
b;24.58;135;y;p;ff;ff;0;f;f;0;f;g;?;0;-
b;16.25;835;u;g;m;v;85;t;f;0;f;s;00200;0;-
b;21.17;875;y;p;c;h;25;f;f;0;f;g;00280;204;-
b;23.92;585;y;p;cc;h;125;f;f;0;f;g;00240;1;-
b;17.67;446;u;g;c;v;25;f;f;0;f;s;00080;0;-
a;16.50;125;u;g;q;v;25;f;t;1;f;g;00108;98;-
b;23.25;12625;u;g;c;v;125;f;t;2;f;g;00000;5552;-
b;17.58;10;u;g;w;h;165;f;t;1;f;g;00120;1;-
a;?;15;u;g;ff;ff;0;f;t;2;t;g;00200;105;-
b;29.50;58;u;g;w;v;29;f;t;1;f;g;00340;2803;-
b;18.83;415;y;p;c;v;165;f;t;1;f;g;00200;1;-
a;21.75;175;y;p;j;j;0;f;f;0;f;g;00160;0;-
b;23.00;75;u;g;m;v;5;f;f;0;t;s;00320;0;-
a;18.25;10;u;g;w;v;1;f;t;1;f;g;00120;1;-
b;25.42;54;u;g;w;v;165;f;t;1;f;g;00272;444;-
b;35.75;2415;u;g;w;v;125;f;t;2;f;g;00220;1;-
a;16.08;335;u;g;ff;ff;0;f;t;1;f;g;00160;126;-
a;31.92;3125;u;g;ff;ff;304;f;t;2;t;g;00200;4;-
b;69.17;9;u;g;ff;ff;4;f;t;1;f;g;00070;6;-
b;32.92;25;u;g;aa;v;175;f;t;2;t;g;00720;0;-
b;16.33;275;u;g;aa;v;665;f;t;1;f;g;00080;21;-
b;22.17;12125;u;g;c;v;3335;f;t;2;t;g;00180;173;-
a;57.58;2;u;g;ff;ff;65;f;t;1;f;g;00000;10;-
b;18.25;165;u;g;d;v;25;f;f;0;t;s;00280;0;-
b;23.42;1;u;g;c;v;5;f;f;0;t;s;00280;0;-
a;15.92;2875;u;g;q;v;85;f;f;0;f;g;00120;0;-
a;24.75;13665;u;g;q;h;15;f;f;0;f;g;00280;1;-
b;48.75;26335;y;p;ff;ff;0;t;f;0;t;g;00000;0;-
b;23.50;275;u;g;ff;ff;45;f;f;0;f;g;00160;25;-
b;18.58;1029;u;g;ff;ff;415;f;f;0;f;g;00080;0;-
b;27.75;129;u;g;k;h;25;f;f;0;t;s;00140;0;-
a;31.75;3;y;p;j;j;0;f;f;0;f;g;00160;20;-
a;24.83;45;u;g;w;v;1;f;f;0;t;g;00360;6;-
b;19.00;175;y;p;c;v;2335;f;f;0;t;g;00112;6;-
a;16.33;21;u;g;aa;v;125;f;f;0;f;g;00200;1;-
a;18.58;10;u;g;d;v;415;f;f;0;f;g;00080;42;-
b;16.25;0;y;p;aa;v;25;f;f;0;f;g;00060;0;-
b;23.00;75;u;g;m;v;5;t;f;0;t;s;00320;0;-
b;21.17;25;y;p;c;h;25;f;f;0;f;g;00280;204;-
b;17.50;22;l;gg;ff;o;0;f;f;0;t;p;00450;100000;+
b;19.17;0;y;p;m;bb;0;f;f;0;t;s;00500;1;+
b;36.75;125;y;p;c;v;15;f;f;0;t;g;00232;113;+
b;21.25;15;u;g;w;v;15;f;f;0;f;g;00150;8;+
a;18.08;375;l;gg;cc;ff;10;f;f;0;t;s;00300;0;+
a;33.67;375;u;g;cc;v;375;f;f;0;f;g;00300;44;+
b;48.58;205;y;p;k;v;25;t;t;11;f;g;00380;2732;+
b;33.67;125;u;g;w;v;1165;f;f;0;f;g;00120;0;-
a;29.50;1085;y;p;x;v;1;f;f;0;f;g;00280;13;-
b;30.17;1085;y;p;c;v;4;f;f;0;f;g;00170;179;-
?;40.83;35;u;g;i;bb;5;f;f;0;f;s;01160;0;-
b;34.83;25;y;p;w;v;3;f;f;0;f;s;00200;0;-
b;?;4;y;p;i;v;85;f;f;0;t;g;00411;0;-
b;20.42;0;?;?;?;?;0;f;f;0;f;p;?;0;-
a;33.25;25;y;p;c;v;25;f;f;0;t;g;00000;2;-
b;34.08;25;u;g;c;v;1;f;f;0;f;g;00460;16;-
a;25.25;125;u;g;d;v;1;f;f;0;t;g;00180;1062;-
b;34.75;25;u;g;cc;bb;5;f;f;0;f;g;00348;0;-
b;27.67;75;u;g;q;h;165;f;f;0;t;g;00220;251;-
b;47.33;65;u;g;c;v;1;f;f;0;t;g;00000;228;-
a;34.83;125;y;p;i;h;5;f;f;0;t;g;00160;0;-
a;33.25;3;y;p;aa;v;2;f;f;0;f;g;00180;0;-
b;28.00;3;u;g;w;v;75;f;f;0;t;g;00300;67;-
a;39.08;4;u;g;c;v;3;f;f;0;f;g;00480;0;-
b;42.75;4085;u;g;aa;v;4;f;f;0;f;g;00108;100;-
